stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell
72hpf,0,0,0,0,0,0,0,6.42,1.07,0,0,51.35
21Day,0,0,0,0,0,0,0,0,0,0,0,30.79
3Month,0,0.32,1.28,0,0.32,0,0.32,0,0,0.32,0.32,7.04
22Month,0.55,0.55,0,1.64,0,0.55,0,0,0,0.55,0,34.99
