stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,151.2,187.97,0,0,0,0,0,0,0,0,0
72hpf,13.91,1.07,7.49,5.35,11.77,0,0,1.07,0,0,0,0,0,5.35,40.65,0,11.77,0,2.14,3.21,0,2625.27,319.87,2.14,22.47,0,0,12.84,0,3.21,0,0
21Day,8.03,0,33.46,1.34,12.05,1.34,0,1.34,0,2.68,0,2.68,6.69,1.34,12.05,8.03,17.4,0,0,1.34,0,1309.09,224.87,1.34,10.71,33.46,0,16.06,2.68,1.34,0,5.35
3Month,0,0.32,2.24,0,0,0,0,0,0,3.52,0.96,0.32,1.6,0.32,0,0.32,0,0.64,0,0.64,0.32,16,0,0,0,0,5.76,0,0,0,3.2,0.32
22Month,0,0.55,1.09,0,0,0,1.64,2.19,0.55,17.49,1.64,0.55,2.19,0,0,1.09,2.73,0,0.55,1.09,0,7.65,0,0,0,0.55,7.11,0,0,0,0,0
