stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,739.64,16.35,16.35,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,60.98,2.14,8.56,0,0,0,0,0,0,3.21,1446.36,0,9.63,0,1.07,71.68,33.16,1.07,12.84,0,0,5.35,0,2.14,0,0
21Day,1.34,0,0,88.34,0,4.02,0,0,2.68,0,6.69,2.68,1.34,307.86,1.34,4.02,1.34,0,10.71,2.68,0,2.68,4.02,0,0,1.34,0,0,0
3Month,0,0.64,0.32,89.27,0,0,0.32,0.96,3.52,0.96,0,1.6,0.64,2.24,1.6,0,0,0,0.32,0,0,0,0.32,0.96,0,0,0,0.32,0.64
22Month,0,0,0,5.47,0,0,0,0.55,2.19,0,1.09,0,0,0,1.09,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0
