stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,12.26,0,16.35,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,8.17,306.48,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,1.07,2.14,2.14,0,0,0,0,0,0,0,0,1.07,3.21,0,11.77,0,0,1.07,0,54.56,40.65,0,0,0,8.56,0,0,8.56,3.21,0,0,0
21Day,1.34,0,1.34,6.69,1.34,4.02,5.35,0,1.34,0,0,0,0,2.68,0,2.68,4.02,0,18.74,0,0,0,0,21.42,5.35,0,0,0,2.68,1.34,0,1.34,0,0,0,1.34
3Month,0.32,0.96,0.32,11.52,0,0,0.32,0.32,0.96,1.28,0,18.88,1.92,1.28,4.8,0.96,4.48,2.56,6.08,0.32,0.32,1.28,0.96,0,0,0.64,1.6,0,0,1.6,42.23,0.32,0,1.92,36.79,5.44
22Month,0,2.19,0,2.19,0.55,0,0,0,0,0.55,2.19,25.15,0,0.55,2.19,0,2.19,2.19,3.83,0,1.09,0,0,0,0,1.09,0.55,0.55,0,0,6.56,0,0,0,0,2.19
