stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,20.43,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,5.35,0,1.07,0,0,0,0,0,1.07,0,1.07,4.28,0,22.47,0,0,3.21,293.12,18.19,1.07,1.07,18.19,0,0,0,3.21,0,0,1.07,0,0,0
21Day,5.35,1.34,0,13.39,14.72,0,2.68,0,0,0,4.02,0,2.68,4.02,0,5.35,4.02,14.72,0,0,121.81,273.06,4.02,1.34,0,8.03,8.03,0,0,5.35,1.34,2.68,1.34,0,0,1.34
3Month,0,0.96,0.64,8.96,0,0.32,0,7.04,2.88,0,2.24,7.68,1.28,2.56,0.32,0.32,5.44,8.64,0.64,0,31.67,9.92,0,4.16,0,1.28,0.32,0.32,7.04,1.92,0,0,0.96,0.64,1.92,8.96
22Month,0,4.37,0,4.92,0,0,0,0.55,3.28,2.19,33.89,2.19,2.19,3.83,0,0,2.19,4.37,0,0.55,29.52,16.4,0,3.83,1.64,0,0.55,0,2.19,2.19,0,0,0,0,0,2.73
