stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
72hpf,5.35,9.63,1.07,1.07,0,0,0,1.07,1.07,1004.53,8.56,1.07,31.02,18.19,5.35,0,2.14,1.07
21Day,0,53.54,0,2.68,0,1.34,1.34,0,0,194.09,4.02,0,5.35,0,1.34,0,0,0
3Month,0,0.32,0,0,0.32,0.96,0,1.28,0,0.96,0.32,0,0,0,0,0.64,0,0
22Month,0,0.55,0,0,0,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0
