stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,3.21,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,5.35,5.35,0,4.02,1.34,107.08,0,0,1.34,0,4.02,1.34,8.03,0,0,1.34,9.37,1.34,0,0,5.35,6.69,0,0,1.34,1.34,0,0,2.68
3Month,0.32,0.64,1.6,4.8,0,0.96,0,1.28,429.37,2.88,0.32,8.64,0.32,2.56,1.6,2.24,0.32,6.72,8.64,0.96,0,0,0,0,6.4,1.92,0.32,0,0,0.64,9.6,2.56
22Month,0,0.55,1.09,0.55,0,0,0,0,129.56,0,0,0.55,0,0,1.09,0.55,3.83,9.84,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0
