stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,1.07,0,0,0,0,0,0,0,0,4.28,0,19.26,0,0,1.07,3.21,2.14,0,2.14,0,0,1.07,0,0,0
21Day,5.35,1.34,4.02,0,0,0,0,0,1.34,0,1.34,0,2.68,6.69,0,14.72,0,0,41.49,9.37,5.35,1.34,2.68,1.34,0,0,0,0,0
3Month,0,1.6,6.4,0.32,0,0.32,0,0,11.84,2.24,0,2.56,0.96,0.96,1.28,16.64,1.28,0,53.43,5.76,0,0.32,0.96,1.28,15.04,0,0.64,63.35,0.64
22Month,2.73,0,2.73,0,0,2.73,0.55,0.55,29.52,0.55,0,1.64,0.55,1.09,2.19,10.39,0,1.09,61.77,8.2,0,1.64,0,0,7.11,0,0,0,1.09
