stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,2.14,5.35,0,0,0,0,0,0,0,10.7,2.14,5.35,0,0,0,573.41,32.09,1.07,1.07,8.56,0,0,6.42,0,0,1.07,0,0,0
21Day,2.68,0,12.05,6.69,0,0,1.34,0,0,2.68,0,2.68,1.34,12.05,0,0,0,393.53,6.69,1.34,0,12.05,8.03,0,0,0,4.02,0,0,0,0
3Month,0,0,2.24,0,0.32,0,0.32,2.56,0.32,0.96,0,1.28,0,11.2,0,0.32,0,28.48,0,1.6,0,0,0.32,0.64,0.32,0.32,0,0,0.64,0.96,0
22Month,0,0.55,9.84,0,0,0.55,3.28,16.4,0.55,0,0,0.55,2.73,7.11,0.55,0,0.55,61.23,0,2.19,0,0,0,2.19,4.37,0,0,0.55,0,0,0.55
