stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,0,2.14,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,0,1.34,2.68,0,0,0,0,0,0,0,0,2.68,0,6.69,4.02,0,0,1.34
3Month,0.32,0.96,0.32,8.96,0.32,0,1.6,1.6,0,8.64,2.24,0.32,1.6,0.96,0.64,1.28,0,0,0.64,0.32,0,0.32,0,0,0.64,101.42,0.96,0.64,8.96,0.96
22Month,0,1.64,0.55,3.28,0.55,0.55,1.64,3.28,2.19,27.88,1.64,0.55,4.37,0.55,2.19,3.83,0.55,2.73,0,0,0.55,0.55,115.34,0,1.09,120.26,0.55,0,0,1.64
