stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,0,0,0,2.14,3.21,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,6.69,0,0,50.86,0,1.34,0,0,0,0,0,0,0,0,1.34,2.68,0,5.35,0,0,1.34,0,4.02,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,1.6,0.96,539.43,0,0,0.32,1.28,4.16,0,21.12,7.36,0,33.91,14.72,63.03,23.36,6.4,5.76,0,2.88,0.64,0.64,0,2.56,0.32,0.96,3.2,11.2,0.32,0.32,0.32,0.32,2.24,6.4,10.56
22Month,0,2.73,1.09,303.39,1.09,0,2.19,2.19,9.29,27.33,57.4,1.64,0.55,29.52,1.64,56.31,7.65,11.48,0,3.28,6.01,0,0.55,0,1.64,1.09,0,0,3.83,0,1.09,0,0,0,0,1.64
