stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,167.54,0,0,0,0,0,0
72hpf,2.14,1.07,3.21,1.07,1.07,0,0,0,0,0,1.07,5.35,0,8.56,0,0,25.67,42.79,1.07,6.42,0,10.7,0,0
21Day,1.34,0,5.35,0,1.34,0,0,0,0,1.34,0,0,1.34,4.02,1.34,0,8.03,12.05,0,2.68,0,4.02,1.34,1.34
3Month,0,0,0.96,0,0,0.32,0,0,0.32,0.64,0.32,0.32,0.32,1.6,0,0.32,0,0.64,0,0,1.28,0,0,0
22Month,0,0.55,0,0,0,0,1.09,3.28,6.56,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
