stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,8.17,4.09,49.04,4.09,0
72hpf,1.07,1.07,1.07,1.07,1.07,2.14,0,0
21Day,1.34,0,1.34,2.68,0,0,0,1.34
