stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,32.69,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,9.63,0,2.14,0,1.07,0,0,0,0,0,3.21,12.84,2.14,4.28,0,0,1051.6,27.81,3.21,2.14,0,20.33,0,0,10.7,1.07,0,0,0
21Day,1.34,0,13.39,1.34,12.05,0,0,0,0,0,0,8.03,2.68,6.69,0,9.37,0,0,483.21,8.03,1.34,2.68,0,1.34,13.39,2.68,6.69,0,2.68,0,0
3Month,0,0,8.64,0.32,0,0,1.28,0,6.4,0.96,0.32,2.24,2.56,1.28,1.6,0.96,0.32,1.28,9.28,0,1.6,0,0,0,0.32,7.04,0.32,0,0,67.19,0.96
22Month,0,0.55,11.48,0,0,0.55,5.47,0.55,79.26,0.55,2.19,6.01,0.55,1.64,3.28,5.47,0,0,10.93,0,2.73,0,2.73,0,0,19.68,0.55,0,0,0,0
