stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0
72hpf,131.58,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,1.07,0,3.21,0,3.21,13.91,26.74,0,1.07,3.21,0,0,12.84,0,0,0
21Day,21.42,0,0,0,1.34,0,2.68,0,0,0,0,0,0,0,0,0,9.37,0,0,0,1.34,5.35,14.72,0,0,0,0,1.34,8.03,0,0,0
3Month,8.32,34.87,8,0.32,0,0.32,0.32,4.8,1.28,5.12,2.24,0.32,18.56,1.28,1.28,1.28,4.16,0.32,0,1.6,157.42,0.64,0.64,1.28,0.32,0.32,2.88,14.08,0.64,0.96,6.08,2.24
22Month,1.09,5.47,0,0,0,0,0,0,0,2.19,0,0,3.83,0.55,0,0,0,0,0,0,5.47,0.55,0,0,0,0,0,0,0,0,0,0.55
