stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,8.17,0,0,4.09,16.35,0,20.43,130.76,16.35
72hpf,0,0,1.07,0,5.35,1.07,1.07,1.07,2.14,1.07
21Day,0,4.02,0,1.34,1.34,0,0,1.34,6.69,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0
