stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,3.21,0,1.07,2.14,0,0,4.28,1.07,1.07,0,1.07,0,0
21Day,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0,0,8.03,0,0,0,0,1.34,0
3Month,0.32,1.6,0,0.32,0,4.8,0.32,0.64,0.32,0.32,0.32,0,1.28,0.32,0.64,0,0,8.96,1.28,0,2.24
22Month,0,2.19,0,0,0.55,4.92,0,0.55,0,0,0,0,0,0,0,0.55,0,2.73,1.64,0,0
