stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,1.07,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,1.34,0
3Month,0,0,0,0.64,0.32,0,0.32,0.32,0,0,0,0,0,0,0,0.32
22Month,1.09,0.55,0.55,9.29,1.09,0,0.55,0.55,1.64,0.55,0,0.55,0.55,0,0,0
