stage,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,518.97,0
72hpf,0,0,0,1.07,2.14,5.35,32.09,41.72
21Day,1.34,1.34,1.34,0,0,1.34,41.49,25.43
22Month,0,1.64,0,0,0,0,0,0
