stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,8.03,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.64,6.72,0.32,8,1.28,20.48,1.6,0.64,8.64,1.6,2.24,2.56,0.96,0.32,0,6.4,0.96,0,0,0.32,0.64,2.24,0,1.92,0.32,6.4
22Month,0,4.92,0,1.09,1.64,88.01,1.64,0.55,2.73,0.55,0.55,4.37,2.73,0,5.47,2.19,0,0,0,0.55,0,2.19,0.55,0.55,0,3.83
