stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,98.07,0,0,0,0,0,0,0,0,0,0,0,0,93.99,16.35,0,98.07,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,3.21,0,0,0,0,0,0,0,0,58.84,27.81,0,4.28,0,0,0,0,54.56,4.28,8.56,0,3.21,0,1.07,2.14,0,0,0,0
21Day,0,0,28.11,0,0,1.34,0,0,0,1.34,0,5.35,0,115.11,9.37,9.37,8.03,0,0,0,1.34,10.71,4.02,1.34,0,1.34,1.34,0,0,1.34,0,0,0
3Month,0.32,1.28,31.67,0.96,0,0,0.64,0.32,0,8.64,0.96,0.32,2.56,276.12,2.88,2.56,1.6,0.64,0,0.96,37.11,0.64,0,2.88,0,0.32,0,2.88,0,0,1.28,0.96,0.32
22Month,0,0,10.39,0,0,0,0,2.19,0.55,9.84,0,0,2.19,22.41,0,0,3.28,0,0.55,0.55,0.55,0.55,0,0.55,1.09,0,0,2.73,0,0,0,0,1.09
