stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,16.35,0,0,0,0,384.12,4.09,0,8.17,12.26,0,0
72hpf,0,0,0,0,1.07,1.07,1.07,0,0,0,1.07,0
3Month,0.32,0,0.32,0.64,0,0.32,0,0,0,0,0,0.32
22Month,0,2.19,0,0.55,0,0,0.55,0.55,0,0,0,1.09
