stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,1.07,1.07,0,1.07,3.21,2.14,2.14,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,4.02,2.68,0,0,0,2.68,0,0,0,0,2.68
3Month,0,0.32,1.6,0,0.32,2.56,0.32,0.32,0.64,2.88,0.32,0.96,31.36,0.32,0,0,0.32,0,0.32,0,0.96,4.48,0.96
22Month,0.55,0,0.55,0,0,0,0,2.73,0,0.55,0,0,9.29,0.55,0,0,0,0,0,0.55,0,0,0
