stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,2.68,0,1.34,5.35,0,0,0,0,0,1.34,0,1.34,0,0,0,0,119.13,0,0,0,0,1.34,1.34,0,0,12.05,8.03,0,0,1.34,6.69,0,0
3Month,0,4.16,0.32,6.72,0.32,0,0.32,0.32,1.6,7.36,2.24,0,2.24,2.88,3.2,2.24,223.32,1.92,0,1.28,4.8,0,0,1.6,0.32,38.07,0.64,0.32,0,0,55.03,1.6,1.92
22Month,0,2.73,0.55,3.83,0,0.55,0,0.55,4.37,32.25,0.55,0,4.37,0.55,0.55,2.73,19.13,0,1.64,0.55,0.55,0.55,0.55,2.73,0,31.16,0,1.64,0.55,0,23.51,0,1.64
