stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0,3.84,0.32,0,0.64,0.32,0,0,0.32,0,0,0.32,1.6,0.32,0.32
22Month,0,0,1.09,75.98,1.09,0.55,0.55,0,2.19,0.55,0,0,0.55,0,3.28,0,0
