stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,36.78,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,1.07,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,136.93,17.12,5.35,0,2.14,0,0,4.28,1.07,1.07,0,0
21Day,4.02,0,0,4.02,6.69,1.34,0,0,0,0,0,0,0,2.68,4.02,1.34,12.05,0,0,156.61,9.37,2.68,0,5.35,0,1.34,1.34,1.34,0,0,1.34
3Month,0,0,0,2.88,6.72,0,0.64,0.32,0.32,2.88,0.64,0,1.28,0,0.96,0.64,2.24,0,0.32,51.19,0,7.36,0.32,0,0.32,1.28,1.28,0,0,0.96,0.96
22Month,0,0,0.55,1.64,2.19,0,0,0,0,6.01,0,0.55,1.09,1.09,1.09,0.55,0.55,0.55,0,19.68,0,10.93,0.55,0,0,14.21,6.01,0,0,0,0
