stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,7.49,4.28,1.07,0,1.07,0,1.07,0,0,0,0,17.12,38.51,3.21,10.7,0,7.49,0,0,11.77,16.05,0,0,12.84,0,0,1.07,0,2.14,0,0,0
21Day,5.35,0,12.05,74.96,0,4.02,0,0,0,0,8.03,2.68,4.02,16.06,1.34,21.42,5.35,17.4,0,1.34,1.34,0,9.37,6.69,2.68,0,2.68,4.02,0,2.68,1.34,1.34,0,0,5.35
3Month,0,0.64,0.96,22.4,0,0,1.6,1.28,0,0,4.16,0,0,16.96,1.92,5.12,3.2,4.48,1.28,0,0.32,0.32,0.32,0,0.32,0,0,0.32,1.28,0,0,0,0.32,0.64,0.32
22Month,0,3.83,6.01,9.29,0,0,4.92,6.01,6.56,0,154.16,1.09,0,38.27,0,1.09,4.37,3.83,0,2.19,1.09,0,0.55,0.55,2.73,1.09,0.55,0.55,2.19,0,0,0,0.55,0,0
