stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
3Month,0,1.92,0.32,0.64,0,52.47,0.32,8.64,0.32,0.32,0,0.64,0.64,0.64,0.32,0.96,0.32
22Month,0.55,0,0,0.55,0.55,37.72,0.55,0,0,0,3.28,0,0,0,0,0,0
