stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,9.63,0,0,0,0,0,0,0,0,1.07,0,3.21,0,3.21,4.28,0,0,0,0,0
21Day,0,49.53,0,0,1.34,0,0,1.34,0,9.37,6.69,0,5.35,0,2.68,2.68,0,0,0,0,0
3Month,0,54.39,1.28,1.92,0,0,0.32,0.64,1.28,0.96,1.6,2.88,0.32,0.64,0.64,0,0.32,0.32,2.88,0.32,2.88
22Month,0.55,8.75,0,0.55,0,0,3.28,0,0,0,0,1.64,0,0,0,0,0,0,0.55,0,0
