stage,Epithelial_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,12.26,0,4.09,0
72hpf,0,0,0,1.07,0,1.07
21Day,1.34,0,2.68,2.68,1.34,0
