stage,Endothelial_cell,Epithelial_cell,Granulocyte,Immune_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
21Day,0,0,0,0,0,2.68,5.35,0,4.02
3Month,0.32,0.32,1.92,2.56,0.32,0,0.32,0.32,3.2
