stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,0,0,54.56,6.42,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,1.34,0,2.68,0,0,0,0,0,1.34,1.34,1.34,1.34,0,5.35,0,0,0,0,49.53,1.34,0,1.34,0,0,2.68,0,0,0,0,0,0
3Month,1.6,0.96,13.76,0.32,0,0.32,0.32,1.92,2.24,0,47.35,3.84,0,5.12,1.6,6.4,4.16,4.48,0.64,0,1.92,0.64,0.96,0,0.64,0.32,0,0.32,0.64,8.64,0,0.32,1.6,28.8,3.84
22Month,2.19,2.19,9.29,0,0,0.55,1.09,1.09,14.76,3.83,197.89,6.01,1.64,12.57,0.55,0.55,8.75,10.93,0,1.64,4.37,0,0.55,0,2.19,1.09,1.09,0,0.55,0.55,1.09,0,1.09,0,2.19
