stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,24.52,4.09,0,0,0,0,20.43,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,7.49,0,0,1.07,0,1.07,0,0,0,0,0,0,2.14,0,0,1.07,5.35,12.84,0,0,2.14,0,28.88,1.07,0,0,0,0,0,1.07,0,0,0,2.14
21Day,0,1.34,0,2.68,1.34,0,4.02,0,0,0,0,0,0,53.54,0,0,2.68,1.34,4.02,0,0,1.34,0,10.71,0,0,0,1.34,4.02,0,0,0,5.35,0,107.08
3Month,0.96,0.64,0.64,26.88,0,4.16,0.64,0,3.2,6.72,0,22.72,11.84,13.76,12.8,1.92,8.64,28.8,11.84,3.2,0.64,2.24,1.92,1.92,1.6,1.92,1.28,0.64,6.4,44.79,0.32,0.32,387.78,29.44,670.93
22Month,2.19,3.28,1.09,8.2,0,2.19,1.64,0.55,1.64,8.2,2.73,48.65,4.37,7.65,6.01,1.09,1.64,42.64,10.93,0,1.64,1.09,1.09,0.55,0,1.64,1.09,0,0.55,68.33,1.09,0.55,46.47,0.55,446.62
