stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0
72hpf,14.98,1.07,0,5.35,0,19.26,1.07,0,0,0,0,0,2.14,0,5.35,24.61,1.07,28.88,0,1.07,1.07,2184.51,113.4,2.14,1.07,32.09,0,46,0,1.07,0
21Day,8.03,1.34,0,10.71,1.34,16.06,2.68,0,0,0,1.34,1.34,4.02,0,1.34,4.02,0,13.39,0,0,2.68,372.11,9.37,2.68,0,5.35,0,4.02,6.69,2.68,2.68
3Month,0,0,0,0.32,0,0,0,0,0,0,1.92,0,0,0.32,0,0.32,1.28,0.64,0.32,0,0,3.2,0.64,0,0,0,0.64,0.32,0,0,0.32
22Month,0.55,0,0.55,0.55,0,0,0,0.55,0.55,43.19,14.21,0,0,1.09,0.55,0,1.64,1.64,0,1.09,0,16.4,0,1.09,0,0.55,6.56,5.47,0,0,0
