stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,1.34,0,0,0,0,6.69,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.64,2.88,0,0.32,1.6,1.6,0,181.73,0.96,3.84,0.32,0.32,1.92,0.64,0.32,0,0,0.32,0.32,0,1.92,2.24,0.64,0.64,0.96
22Month,1.09,0,0.55,0,1.09,0,1.09,1.09,390.31,0.55,4.37,0,0,2.73,0,0,8.75,0.55,0,0,0.55,0,0.55,0.55,0,0
