stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,69.47,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,10.7,0,0,0,0,0,0,0,0,0,4.28,6.42,0,1.07,0,1.07,3.21,47.07,23.54,1.07,0,0,0,0,4.28,0,0,0
21Day,1.34,1.34,4.02,16.06,8.03,0,0,0,0,0,0,1.34,0,0,2.68,0,1.34,0,0,0,0,4.02,4.02,4.02,0,0,0,2.68,0,0,0,0
3Month,0,1.28,2.88,68.79,4.48,0,0.32,1.92,1.28,0,5.44,2.24,0.32,1.28,50.23,1.28,1.6,1.6,0.32,0.96,9.28,4.8,1.6,1.92,0,0.64,2.56,0,0.64,0.32,22.08,0.32
22Month,0,0,0,15.85,0,0.55,0,0.55,0.55,1.09,2.73,0,0,1.09,8.75,0,1.64,0,0,0,0.55,0.55,0,1.64,0,0,2.19,0,0,0,0,0.55
