stage,Endothelial_cell,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,0
72hpf,1.07,0,0,1.07,0,0
21Day,0,0,0,0,0,1.34
3Month,0,0.32,0.64,0,0,0
