stage,Epithelial_cell,Fibroblast,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,Spermatocyte
21Day,1.34,0,0,0,1.34,0,1.34,0,0
3Month,1.28,0,0.96,0.32,0.96,0.64,0,0.32,0.32
22Month,0.55,0.55,0.55,0,0,0,0,0,0
