stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,9.37,0,1.34,1.34,0,0,0,0,0,0,0,6.69
3Month,0.32,0.32,0.64,0,0.32,0.32,1.92,0.64,2.24,0.32,2.24,0.64,0,0,0,0.32,2.24,0,1.28,26.56
22Month,0,0.55,0,0,0,0.55,3.28,0,1.64,0,1.09,1.09,0.55,0.55,0,0,0,0.55,0,7.65
