stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,159.37,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,17.12,0,2.14,0,0,0,16.05,0,0,0,0,0,0,1.07,37.44,169.03,0,0,1.07,0,0,5.35,4.28,0,0,0,4.28,0,0,0,1.07,0,0,0,0
21Day,6.69,2.68,0,151.25,2.68,12.05,13.39,0,0,22.76,1.34,0,4.02,12.05,84.33,1.34,1.34,155.27,410.93,18.74,0,0,4.02,0,28.11,9.37,1.34,1.34,0,12.05,8.03,0,2.68,2.68,1.34,0,0,109.76
3Month,0,1.6,0.32,19.52,0,0,0.32,0,5.76,27.84,0,0,15.04,39.99,1.6,7.36,1.28,3.2,125.74,6.72,0.64,0,1.6,2.56,1.28,0,1.28,0.96,0,0.96,2.24,0.64,31.67,0,0,0.96,3.84,47.99
22Month,1.64,8.2,3.28,23.51,0,0,2.19,0.55,2.19,171.1,14.76,0,386.48,64.51,12.57,23.51,1.09,3.83,317.61,18.04,0,8.2,4.37,0,3.83,0,1.09,1.09,0.55,1.09,0.55,0,15.85,0,1.64,2.19,0,55.21
