stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,3.21,0,1.07,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,1.34,1.34,1.34,1.34,0
3Month,1.92,0.64,0.64,0.32,0.64,0.32,0,0.32,0.96,24.64,0,0,0,0.32,1.92
22Month,0,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0
