stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0,0,9.37,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,4.16,0.32,0.32,0.96,2.88,0,7.04,1.6,0.96,2.24,1.28,0.96,0.64,0.32,0.32,0,0,0.64,0,0.32,1.28,19.52,8.96,81.91,0.64
22Month,1.09,1.09,0.55,0,0,1.64,2.19,0.55,31.16,1.64,0,2.19,0.55,1.09,3.28,0,1.09,0,0.55,1.09,8.75,0,0.55,4.92,18.04,1.09,0
