stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,36.78,8.17,0,0,0,0,0,0,32.69,0,0,0,0,4.09,0,12.26,49.04,0,0,0,24.52,588.44,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,3.21,0,3.21,2.14,1.07,0,1.07,0,0,0,0,0,0,1.07,0,2.14,5.35,0,51.35,0,5.35,1.07,315.59,64.19,0,0,0,69.54,1.07,0,6.42,1.07,2.14,0,0,0
21Day,4.02,0,0,24.09,1.34,5.35,0,1.34,0,0,0,0,2.68,0,1.34,0,0,1.34,0,32.12,0,0,13.39,68.27,22.76,2.68,0,0,42.83,4.02,0,0,0,0,2.68,0,1.34
3Month,0.32,2.24,3.52,49.91,0.32,0,0.32,1.6,127.66,4.16,0,0,25.92,6.72,2.56,50.23,1.92,4.8,5.76,26.88,0.32,0,90.23,0.64,0.96,15.36,0.96,0,3.52,2.56,33.27,0,0,0,75.51,1.6,2.56
22Month,0,0.55,4.37,26.24,0,0,1.09,1.64,60.68,3.83,4.92,0,60.68,1.64,3.28,65.05,1.09,3.28,4.92,7.11,0,0.55,16.4,0.55,3.28,20.23,1.09,1.64,4.37,0.55,29.52,0,0,0,7.65,0,3.28
