stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0,1.6,0.32,0.32,0.64,2.24,0.32,0.32,2.24,0.64,0.64,0,0.32,0.96,0,0,0,0.32,22.72,0.64,55.67
22Month,0.55,0.55,0,0.55,0,3.28,0.55,0,0,0,1.09,0.55,0,0,0,0,1.09,0,1.64,0,0.55
