stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,33.16,1.07,0,0,0,0,0,5.35,2.14,0,1.07,0,0,0,0,2.14,0,0,0
21Day,0,0,0,20.08,0,0,0,0,1.34,0,0,112.44,0,2.68,0,0,0,0,2.68,0,0,2.68,0,0,0,1.34,1.34,0,0,2.68
3Month,0.32,0.32,0.32,11.84,1.28,1.6,7.36,1.28,0,2.88,0.32,2.56,1.28,0.64,0.32,0,0,0.64,0,0.32,0,0,0.64,2.56,0.64,0,0,0.32,0.64,2.88
22Month,0,0.55,0,3.28,0.55,8.2,30.07,2.73,0.55,6.56,1.09,0.55,7.65,3.28,0,1.09,1.09,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0,1.09
