stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,11.77,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,9.37,2.68,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.32,0.32,0.64,2.56,0,0,0.32,1.6,0,3.52,0.32,1.28,0.32,0.32,0.32,0.64,0,0.32,0.64,0,0,0.32,0,0,0,9.6,0,0,0.32,26.24,0.96
22Month,0,0,0,2.19,0,0.55,1.09,0,3.28,15.85,0,1.64,0,0.55,1.09,1.09,0.55,0.55,0,0,0,0,0.55,1.09,0,6.01,0.55,0,0,0.55,0
