stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,3.21,0,4.28,0,0,5.35,6.42,0,4.28,0,0,1.07,0,0,0
21Day,4.02,0,1.34,0,0,1.34,0,0,0,0,1.34,0,0,1.34,2.68,0,0,2.68,4.02,0,4.02,1.34,0,0,0,0,0
3Month,0,0,2.56,0,0.32,0,1.6,0,9.6,0.64,0,0,0,0.96,1.92,0.64,0.32,0,0,0,0,0.64,1.28,0,0.32,0.32,0
22Month,0,1.09,1.09,0,0,0,2.19,1.09,15.31,0,0.55,2.19,0.55,1.09,0,0,0,0,0,0.55,0,0.55,1.09,0,0,0,0.55
