stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,4.09,28.6,0,0,0,8.17,134.85,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,0,1.07,2.14,1.07,8.56,0,0,0,39.58,19.26,0,0,2.14,0,4.28,0,0,0,0
21Day,2.68,0,0,6.69,14.72,0,2.68,0,1.34,0,2.68,0,0,0,0,9.37,0,0,0,25.43,18.74,0,0,2.68,1.34,4.02,1.34,0,0,0
3Month,0,0,0.96,4.16,0,0.64,0.32,0,4.48,0.96,0,0.96,0.32,0.64,1.92,2.24,0,0.32,0.64,0.32,0,0.96,0.32,0,20.48,0,0,1.6,4.16,0.64
22Month,0,0.55,0,1.64,0,0,0.55,1.09,12.57,0.55,0,2.19,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09,0,8.75,0,0,0,0,0
