stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,6.69,1.34,0,1.34,0,0,0,0,0,0,0,1.34,5.35,1.34,18.74,0,0,2.68,0,2.68,1.34,0,1.34,0,16.06,0,0,0,0,0,0
3Month,7.68,0,19.2,0,0.64,0,2.24,0.96,0,44.15,3.84,0.32,3.52,0.96,11.84,1.28,57.59,3.52,0,3.2,1.6,6.72,0.32,0.32,0.96,0,2.56,2.56,67.19,0.32,3.2,351.62,1.6
22Month,8.2,1.64,9.84,0,1.09,0,0.55,7.11,644.51,164.54,2.73,1.09,8.2,0.55,1.09,4.92,31.71,0.55,2.73,2.73,1.09,6.01,0.55,1.09,0.55,1.09,1.09,1.09,2.19,0.55,1.09,2.19,3.28
