stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,1.34,0,0
3Month,0.32,0.64,0,0.32,1.28,0,0.32,0,0.32,0.64,0.96,0.32,0,0,0,0,0,0,0,0.32,3.52
22Month,0,0,0,1.64,3.83,0.55,2.19,0.55,1.09,0,0,0.55,0,0.55,0,0,0.55,0,0,0,2.73
