stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Pancreatic_cell
3Month,0.32,0.32,0,1.6,0,0.32,0.32
22Month,0,0.55,0.55,5.47,1.09,0.55,0
