stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,40.86,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,5.35,0,1.07,0,0,0,5.35,4.28,0,0,0,2.14,0,0,1.07,0,0,0,0
21Day,0,0,12.05,1.34,1.34,0,0,0,0,0,1.34,0,0,2.68,0,2.68,0,1.34,0,4.02,4.02,0,0,0,1.34,4.02,0,1.34,1.34,0,0,0
3Month,0.32,0,8.32,0,0,0.64,1.92,0,3.52,3.52,0,1.92,0.32,1.92,2.24,2.56,0,0.96,0.96,0,0,0.32,0.32,0,0.32,0,2.56,0,0,1.28,0.64,7.04
22Month,1.09,0.55,3.83,0,0,0.55,0.55,1.64,28.43,1.09,0,2.73,1.09,0.55,1.64,2.19,1.09,0,0,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0.55
