stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,6.69,5.35,0,0,0,0,0,0,2.68,0,1.34,1.34,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,1.92,4.48,0,0.64,0.32,3.52,6.08,0,24,0.64,44.79,0.96,1.28,3.84,1.6,0.32,0,0.96,8.32,0,0,0.64,0.32,0,1.6,4.48,0,0,0.64,0.96,1.28
22Month,0,0.55,0.55,0,1.64,0,0.55,3.28,0.55,45.37,0.55,17.49,0,0,2.19,3.28,0.55,3.28,0,0,1.64,0,0.55,1.09,0.55,0,1.09,0,0,0,0,1.64
