stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,6.42,0,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,1.34,0,17.4,6.69,0,0,0,4.02,0,0,1.34,0
3Month,0,0,1.6,0,0,0,0,0.32,0,0.32,1.6,1.28,0.32,0,0,0,0,0.32,0,0.32
22Month,0.55,0.55,7.65,4.37,0.55,0.55,4.37,0.55,0,4.37,16.4,1.09,0.55,1.09,1.09,0,0.55,0,0.55,0
