stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,13.91,0,1.07,0,32.09,8.56,0,4.28,0,0,4.28,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,8.03,0,1.34,0,12.05,1.34,0,5.35,0,0,0,0,0,0,0
3Month,0,0.64,0.96,5.76,0.32,1.92,1.6,20.16,3.2,0.64,2.88,0.32,1.6,0.32,5.76,1.6,0.32,0.32,0.32,0,0.32,0.32,1.6,2.88,0,0,15.04,536.24,0.96
22Month,0,0,0,0.55,0,0,0,5.47,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0.55,0.55,0
