stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,12.26,24.52,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,40.86,8.17,0,0,0,163.46,143.02,0,4.09,0,0,0,4.09,0,0,0
72hpf,1.07,2.14,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,3.21,0,0,0,80.23,13.91,0,2.14,0,0,1.07,0,0,0,0
21Day,0,1.34,8.03,0,0,0,2.68,0,0,0,0,0,0,0,0,2.68,1.34,2.68,0,0,0,16.06,2.68,0,1.34,1.34,0,0,0,0,0,2.68
3Month,0,46.39,3.2,0,0,0,0.32,0.32,7.36,0.96,3.84,1.6,0.64,1.6,0.96,2.88,1.28,5.76,4.16,3.84,0.32,1.28,0.64,0.64,2.56,0.32,26.56,0,0,4.48,20.48,4.48
22Month,0,60.68,6.56,0,0,0.55,0,1.09,5.47,2.19,6.56,2.19,0,3.83,0,1.09,3.28,6.56,1.64,3.28,0,0,0,0,0,0,21.32,0.55,0,1.64,0,1.09
