stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,16.35,0,0,0,0,0,0,0,0,4.09,8.17,8.17,61.3,0,0,0,0,24.52,237.01,0,0,12.26,0,0,0,0,0,4.09,0,0
72hpf,5.35,0,0,4.28,0,0,0,0,0,0,0,0,4.28,5.35,0,5.35,0,1.07,0,2.14,97.35,31.02,0,0,3.21,0,0,1.07,1.07,2.14,5.35,0,0
21Day,1.34,0,1.34,17.4,2.68,4.02,0,1.34,2.68,0,0,2.68,0,5.35,0,6.69,0,0,0,1.34,41.49,16.06,2.68,0,2.68,0,0,8.03,0,0,2.68,0,0
3Month,0.32,0.32,0.96,16.96,0,0,0.64,7.68,2.88,1.92,0,5.76,0.96,2.56,3.52,2.56,0.96,0,0,0.64,2.56,0,3.2,0,0,0,4.16,0.32,0,0,0,0.96,0.96
22Month,0.55,0,0.55,1.09,0,0,0,5.47,3.28,3.83,0.55,4.37,0,0,4.92,2.19,0,0.55,0.55,0,0.55,0,1.64,4.92,0,0.55,1.09,0,0,0,0,0,0.55
