stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,3.21,1.07,0,0,1.07,8.56,0,0,0,0,0
21Day,2.68,0,1.34,28.11,6.69,0,0,10.71,10.71,0,10.71,0,2.68,1.34,0,5.35,1.34,10.71,0,0,0,0,0,4.02,0,0,0,206.13,0,0,1.34,0,1.34
3Month,0,1.92,0.96,45.75,0,0.32,0.32,121.9,8.64,0,78.39,2.88,0,5.76,0.32,1.6,0.96,1.28,0.64,0,0.64,0.64,0,0.32,0,0.32,0,146.86,0.32,0,0,1.92,0.64
22Month,0,0,2.73,3.83,0,0,0,44.83,28.97,0.55,49.2,3.28,0,13.67,0,0.55,1.64,2.19,0,0.55,0,0,0.55,0,1.64,0,0,53.57,0,0.55,0,0,0
