stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,1.07,1.07,0,0,0,0,2.14,2.14,0,0,22.47,4.28,1.07,0,0,0,2.14,0,0,0,0
21Day,0,0,12.05,0,1.34,0,0,0,1.34,2.68,5.35,0,0,14.72,1.34,0,0,6.69,0,0,1.34,1.34,0,0
3Month,0,0.32,0.32,0,0,0.32,0.96,0,0,0.32,0.64,0.32,0.32,0,0,0,0.32,0,3.2,0,0,0,0.64,0.32
22Month,0,0,0,0,0,0.55,0.55,1.09,0,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,0
