stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,53.54,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,1.34,0,0,8.03,0,1.34,0,0,0
3Month,0.32,0.32,0.96,4.48,0.32,0,0.64,0.32,1.28,0.64,0,93.43,1.28,0.32,7.68,0.64,0.64,0.96,1.92,0.32,0.64,0.32,0.96,0.32,0,0.32,0.64,0.32,0.64,0.32,0.32,0.32,0.32
22Month,0,0,0,0.55,0,0,0,0,0,1.64,0.55,155.8,0.55,0,4.92,0,1.09,0.55,3.28,0,4.37,0,0,0,0,0,0,0,0.55,0,1.09,0,1.09
