stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,3.21,1.07,0,0
21Day,0,0,0,5.35,0,0,0
3Month,0.32,0.32,0.32,3.2,0,0.32,0
22Month,0,2.73,0,1.64,0,0,0.55
