stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,2.68,0,1.34,2.68,0,1.34,0,1.34,0,0,0,5.35,0,0,6.69,12.05,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0,2.68
3Month,0,0.64,2.88,0,1.28,0.32,0.64,1.28,0,10.24,1.6,0.64,1.92,2.24,1.28,107.82,2.24,0.96,0,0.64,0,0.32,0.32,0.64,0,0.96,0.96,0.96,15.68
22Month,0,1.09,2.19,0,0,0,0.55,4.37,3.28,48.11,1.09,1.64,2.73,0,0,194.61,4.37,0,0.55,0,0.55,0,0,1.09,0,1.09,1.64,0,11.48
