stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,1.07,0,6.42,0,52.42,6.42,0,1.07,4.28,0,0,1.07,22.47,26.74,0,0
21Day,1.34,0,1.34,1.34,5.35,1.34,0,0,0,0,0,0,1.34,1.34,0,17.4,2.68,0,0,1.34,1.34,0,0,33.46,48.19,0,1.34
3Month,0,0,0.32,0,0,0,0.32,0,0.32,0.64,0.64,0.32,0.32,0,0.32,0,0,0.32,0,0,0.32,4.48,0.32,0.64,0,0.64,0
22Month,0,0.55,0.55,0,0,0,0,1.09,13.12,0.55,1.64,0.55,0.55,2.19,0,0,0.55,0,0.55,0,0.55,2.19,0,4.37,0,0,1.09
