stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,273.79,0,0,24.52,110.33,0,65.38,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,5.35,1.07,4.28,0,0,0,0,0,3.21,4.28,1.07,324.15,0,2.14,32.09,24.61,1.07,376.57,1.07,0,2.14,0,1.07,0,0,0
21Day,5.35,0,2.68,1.34,4.02,0,0,0,0,1.34,0,4.02,1.34,223.54,0,9.37,5.35,6.69,0,187.39,8.03,0,0,2.68,2.68,1.34,0,1.34
3Month,0,0,1.28,0,0,0.32,0.32,0.32,0,0,0,0,0.32,18.56,8,0,0.32,0,0,1.6,0,0.64,0,0,0,0.64,0.32,0.32
22Month,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,7.11,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55
